Licensee Name,Street,City,State,Zip,Licensee Number,Channel Type,Account Name,RTD Contract,Location
THIRD HILL BREWING CO,8216 GEORGIA AVE,SILVER SPRING,MD,20910,DBW1063445,On/Off-Premise,TH BREWING LLC,No,"8216 GEORGIA AVE
SILVER SPRING, MD 20910
(38.99197, -77.0269)"
MAPLEWOOD PARK PLACE,9707 OLD GEORGETOWN ROAD,BETHESDA,MD,20814,CBWLRC002,On Premise,SUNRISE SENIOR LIVING SERVICES,No,"9707 OLD GEORGETOWN ROAD
BETHESDA, MD 20814
(39.01514, -77.11703)"
LEENA'S BEER AND WINE,13505 CLOPPER ROAD,GERMANTOWN,MD,20874,ABWS1270553,Off Premise,"ANJANI, LLC",Yes,"13505 CLOPPER ROAD
GERMANTOWN, MD 20874
(39.16246, -77.28059)"
ON ST ELMO/FLYING BUDDHA,4915 ST ELMO AVENUE,BETHESDA,MD,20814,BDBWL1001429,On/Off-Premise,BELLASHED LLC,No,"4915 ST ELMO AVENUE
BETHESDA, MD 20814
(38.98869, -77.09761)"
29 CONVENIENCE MART,10755 COLESVILLE ROAD,SILVER SPRING,MD,20901,DBW32443,On/Off-Premise,A&I ENTERPRISE VI . INC,Yes,"10755 COLESVILLE ROAD
SILVER SPRING, MD 20901"
MERIDIAN MARKET & WINE,5230 TUCKERMAN LANE,ROCKVILLE,MD,20852,ABW251,Off Premise,EMC AT MERIDIAN INC.,Yes,"5230 TUCKERMAN LANE
ROCKVILLE, MD 20852
(39.02749, -77.10135)"
DAWSON'S MARKET,9636 GUDELSKY DRIVE,ROCKVILLE,MD,20850,CATBWL1453544,On Premise,DM USG LLC,No,"9636 GUDELSKY DRIVE
ROCKVILLE, MD 20850
(39.09463, -77.20211)"
DISTRICT BISTRO AND FRANK'S BURGERS,11230 GRANDVIEW AVE,SILVER SPRING,MD,20902,BDBWL1069448,On/Off-Premise,SIMPLE FOOD GROUP LLC,No,"11230 GRANDVIEW AVE
SILVER SPRING, MD 20902
(39.03938, -77.05246)"
CITY LIGHTS OF CHINA,4953 BETHESDA AVENUE,BETHESDA,MD,20814,BBWLHR1071900,On Premise,Q & Q RESTAURANT,No,"4953 BETHESDA AVENUE
BETHESDA, MD 20814
(38.98078, -77.10008)"
N-CLUB CAPRI,11222 GRANDVIEW AVE,SILVER SRING,MD,20902,BBWLHR,On Premise,"CLUB CAPRI, LLC",No,"11222 GRANDVIEW AVE
SILVER SRING, MD 20902
(39.03926, -77.05243)"
DERWOOD BEER & WINE,17601 REDLAND ROAD,DERWOOD,MD,20855,DBW133,On/Off-Premise,"SUBH LAXMI, INC.",Yes,"17601 REDLAND ROAD
DERWOOD, MD 20855
(39.14425, -77.14443)"
SHEGER SPRING CAFE,900 SILVER SPRING AVENUE,SILVER SPRING,MD,20910,BBWLHR21274,On Premise,"SHEGER SPRING CAFE, LLC",No,"900 SILVER SPRING AVENUE
SILVER SPRING, MD 20910
(38.99167, -77.02428)"
SUGARLOAF WINE CELLAR,12955 WISTERIA DR,GERMANTOWN,MD,20874,DBW25768,On/Off-Premise,"VHVP GROUP, LLC",Yes,"12955 WISTERIA DR
GERMANTOWN, MD 20874
(39.17853, -77.27026)"
LUCKY STRIKE ROCKVILLE,15720 SHADY GROVE ROAD,GAITHERSBURG,MD,20877,BBWLHR497,On Premise,"AMF BOWLING CENTERS, INC.",No,"15720 SHADY GROVE ROAD
GAITHERSBURG, MD 20877
(39.11409, -77.18795)"
TAKOMA PARK SILVER SPRING COOP,201 ETHAN ALLEN AVENUE,TAKOMA PARK,MD,20912,ABWS21343,Off Premise,TAKOMA PARK SILVER SPRING COOP,No,"201 ETHAN ALLEN AVENUE
TAKOMA PARK, MD 20912
(38.97775, -77.00576)"
RIO GRANDE CAFE & SAVAGE BURRITO- BETH.,4870 BETHESDA AVE,BETHESDA,MD,20814,BBWLHR161,On Premise,"THE MEXICAN REST., INC.",No,"4870 BETHESDA AVE
BETHESDA, MD 20814
(38.98088, -77.09811)"
MODENA RESERVE AT KENSINGTON,10540 METROPOLITAN AVE.,KENSINGTON,MD,20895,BBWLHR603348,On Premise,"SHI-III SOLERA KENSINGTON OWNER, LLC",No,"10540 METROPOLITAN AVE.
KENSINGTON, MD 20895
(39.02793, -77.07315)"
BOUBOULINA,921 MEETING ST,NORTH BETHESDA,MD,20852,BBWLHR1272550,On Premise,"BOUBOULINA, LLC",No,"921 MEETING ST
NORTH BETHESDA, MD 20852
(39.05031, -77.11524)"
ARAT KILO MARKET AND RESTAURANT,818 EASLEY STREET,SILVER SPRING,MD,20910,HBW23352,On Premise,"HELINA ASEGED AND SONS, LLC",No,"818 EASLEY STREET
SILVER SPRING, MD 20910
(38.99373, -77.02373)"
KARLEE'S DELI AND MARKET,3750 HOWARD AVENUE,KENSINGTON,MD,20895,DBW1091447,On/Off-Premise,KARLEE'S DELI LLC,No,"3750 HOWARD AVENUE
KENSINGTON, MD 20895
(39.02763, -77.07373)"
AMAZING ART STUDIO,115 CROWN PARK AVENUE,GAITHERSBURG,MD,20878,SAGBW1520544,On Premise,AMAZING ART STUDIO III INC.,No,"115 CROWN PARK AVENUE
GAITHERSBURG, MD 20878
(39.11487, -77.20631)"
SUPER CHICKEN-GERMANTOWN,12611-H WISTERIA DRIVE,GERMANTOWN,MD,20874,HBWHR35833,On Premise,"MEGA PARTNERS, LLC",No,"12611-H WISTERIA DRIVE
GERMANTOWN, MD 20874
(39.17046, -77.26084)"
TRAVILAH BEER & WINE,10028 DARNESTOWN ROAD,ROCKVILLE,MD,20850,DBW1289545,On/Off-Premise,"NKGS, LLC",Yes,"10028 DARNESTOWN ROAD
ROCKVILLE, MD 20850
(39.09591, -77.20671)"
GUARDADO'S RESTAURANT,4918 DEL RAY AVE,BETHESDA,MD,20814,BBWLHR220,On Premise,"NICOREY, LLC",No,"4918 DEL RAY AVE
BETHESDA, MD 20814
(38.98928, -77.09935)"
ABI AZTECA GRILL,11514 MIDDLEBROOK ROAD,GERMANTOWN,MD,20876,BBWLHR792,On Premise,"AZTECA GRILL, LLC",No,"11514 MIDDLEBROOK ROAD
GERMANTOWN, MD 20876
(39.17953, -77.24012)"
PICCA POLLO A LA BRASA,13000 MIDDLEBROOK ROAD,GERMANTOWN,MD,20874,BBWLHR854,On Premise,"PICCA CHICKEN, INC",No,"13000 MIDDLEBROOK ROAD
GERMANTOWN, MD 20874
(39.18139, -77.27139)"
TACOSWAY MEXICAN GRILL,8777 - B FIRST AVENUE,SILVER SPRING,MD,20910,DBWL718356,On Premise,"TWSS1,LLC",No,"8777 - B FIRST AVENUE
SILVER SPRING, MD 20910
(38.9982, -77.03266)"
HILLANDALE BEER & WINE,10117 NEW HAMPSHIRE AVE,SILVER SPRING,MD,20903,ABW183,Off Premise,SATH INC.,Yes,"10117 NEW HAMPSHIRE AVE
SILVER SPRING, MD 20903
(39.02105, -76.97541)"
NEW SILVER FOUNTAIN RESTAURANT,13533 CONNECTICUT AVE,SILVER SPRING,MD,20906,BBWLHR771,On Premise,"NEW SILVER FOUNTAIN, INC",No,"13533 CONNECTICUT AVE
SILVER SPRING, MD 20906
(39.07751, -77.07998)"
Z-N-ROHOBOT ETHIOPIAN RESTAURANT,,,,,BBWHR642355,On Premise,"ROHOBOT ENTERPRISE, LLC",No,
RIO GRANDE CAFE & SAVAGE BURRITO-GAIT,231 RIO BLVD,GAITHERSBURG,MD,20878,BBWLHR048,On Premise,"THE MEXICAN RESTAURANT,INC.",No,"231 RIO BLVD
GAITHERSBURG, MD 20878
(39.11811, -77.20034)"
GOSHEN PLAZA BEER & WINE,9150 ROTHBURY DR.,MONTGOMERY VILLAGE,MD,20886,DBW029,On/Off-Premise,"LAKSHMI LLC,",Yes,"9150 ROTHBURY DR.
MONTGOMERY VILLAGE, MD 20886
(39.18502, -77.18976)"
RED HOUND,7050 CARROLL AVE UNIT 101,TAKOMA PARK,MD,20912,DBW1377544,On/Off-Premise,BAKHOS LLC,No,"7050 CARROLL AVE UNIT 101
TAKOMA PARK, MD 20912
(38.97508, -77.01082)"
PRIME BEER & WINE,12842 NEW HAMPSHIRE AVENUE,SILVER SPRING,MD,20904,ABW1658544,Off Premise,CARLEYS CONVENIENCE STORE LLC,Yes,"12842 NEW HAMPSHIRE AVENUE
SILVER SPRING, MD 20904
(39.06603, -77.00099)"
NANDO'S PERI PERI - WHEATON,11160 VEIRS MILL ROAD SPACE P205,WHEATON,MD,20902,BBWLHR23474,On Premise,"NANDO'S OF WHEATON, LLC",No,"11160 VEIRS MILL ROAD SPACE P205
WHEATON, MD 20902
(39.03748, -77.05329)"
AKIRA RAMEN & IZAKAYA,"1800 ROCKVILLE PIKE, STE H1",ROCKVILLE,MD,20852,HBWHR749355,On Premise,"HS PANIDA, INC.",No,"1800 ROCKVILLE PIKE, STE H1
ROCKVILLE, MD 20852
(39.05994, -77.12199)"
TG SILVER SPRING MART,8211 FENTON STREET,SILVER SPRING,MD,20910,DBW1057690,On/Off-Premise,TG SILVER SPRING MART LLC,No,"8211 FENTON STREET
SILVER SPRING, MD 20910
(38.99208, -77.02405)"
BJ'S BEER & WINE,20032 GOSHEN RD.,GAITHERSBURG,MD,20879,ABW42099,Off Premise,"JEON GALAXY, INC.",Yes,"20032 GOSHEN RD.
GAITHERSBURG, MD 20879
(39.18651, -77.18716)"
ASI ES MI TIERRA,2559 ENNALS AVENUE,WEATON,MD,20902,BBWLHR1142498,On Premise,AEMT LLC,No,"2559 ENNALS AVENUE
WEATON, MD 20902
(39.03971, -77.05411)"
WATKINS MILL BEER & WINE,857 RUSSELL AVE.,GAITHERSBURG,MD,20879,DBW508327,On/Off-Premise,"SONI FAMILY, LLC",Yes,"857 RUSSELL AVE.
GAITHERSBURG, MD 20879
(39.15725, -77.21181)"
RED ROBIN GOURMET BURGERS & BREWS,20001 CENTURY BLVD,GERMANTOWN,MD,20874,BBWLHR332,On Premise,RED ROBIN OF MONTGOMERY CO INC,No,"20001 CENTURY BLVD
GERMANTOWN, MD 20874
(39.18289, -77.25954)"
KUYA JA'S LECHON BELLY,5268H NICHOLSON LN,ROCKVILLE,MD,20895,DBW33522,On/Off-Premise,"KUYA JAS LECHON BELLY, LLC",No,"5268H NICHOLSON LN
ROCKVILLE, MD 20895
(39.0446, -77.10683)"
YIKU SUSHI,818 MUDDY BRANCH ROAD,GAITHERSBURG,MD,20878,BBWHR23411,On/Off-Premise,"JWL, LLC",No,"818 MUDDY BRANCH ROAD
GAITHERSBURG, MD 20878
(39.1141, -77.21709)"
ARMAND'S PIZZERIA & GRILLE,190 HALPINE ROAD,ROCKVILLE,MD,20852,BBWHR137,On/Off-Premise,"SAPHRO, LLC.",No,"190 HALPINE ROAD
ROCKVILLE, MD 20852
(39.06108, -77.12546)"
TRATTORIA DA LINA,7000 CARROLL AVENUE,TAKOMA PARK,MD,20912,BBWLHR24865,On Premise,"MINNA, LLC",No,"7000 CARROLL AVENUE
TAKOMA PARK, MD 20912
(38.97473, -77.01209)"
COASTAL FLATS,135 CROWN PARK AVENUE,GAITHERSBURG,MD,20878,BBWLHR853,On Premise,COASTAL FLATS - CROWN,No,"135 CROWN PARK AVENUE
GAITHERSBURG, MD 20878
(39.11456, -77.2059)"
LAKESIDE BEER AND WINE,9621 LOST KNIFE RD,GAITHERSBURG,MD,20877,DBW31825,On/Off-Premise,SHUVASHREE CORPORATION,Yes,"9621 LOST KNIFE RD
GAITHERSBURG, MD 20877
(39.15285, -77.19684)"
BEST BEER WINE AND DELI & GROCERY,18749-A NORTH FREDERICK ROAD,GAITHERSBURG,MD,20879,ABWS854397,Off Premise,BEST BEER WINE AND DELI,Yes,"18749-A NORTH FREDERICK ROAD
GAITHERSBURG, MD 20879"
FIRST WATCH,12255 PROSPERITY DRIVE SUITE 117,SILVER SPRING,MD,20904,BBWLHR1519545,On Premise,"FIRST WATCH RESTAURANTS, INC.",No,"12255 PROSPERITY DRIVE SUITE 117
SILVER SPRING, MD 20904
(39.06134, -76.96049)"
HYATT REGENCY BETHESDA,ONE BETHESDA METRO,BETHESDA,MD,20814,BBWLHM21674,On Premise,"TMG II BETHESDA HOTEL TRS, LLC",No,"ONE BETHESDA METRO
BETHESDA, MD 20814
(38.98409, -77.09506)"
ADULIS COFFEE AND ROASTERY,7825 EASTERN AVENUE,SILVER SPRING,MD,20910,BBWLHR1490544,On Premise,"SPRING STAR GROUP, LLC",No,"7825 EASTERN AVENUE
SILVER SPRING, MD 20910
(38.98528, -77.02715)"
LANCE'S BEER & WINE,4701 MILLER AVE,BETHESDA,MD,20814,DBW120,On/Off-Premise,"GUTHWORKS, LLC",Yes,"4701 MILLER AVE
BETHESDA, MD 20814
(38.98057, -77.09289)"
VFW POST NO. 350,6420 ORCHARD AVE,TAKOMA PARK,MD,20912,CBWLFV1,On Premise,POST NO. 350 VFW OF THE U.S,No,"6420 ORCHARD AVE
TAKOMA PARK, MD 20912
(38.96938, -77.00292)"
THE GRILLED OYSTER COMPANY,200 MAIN ST.,GAITHERSBURG,MD,20878,BBWLHR732,On Premise,"OLLIE JACK, LLC",No,"200 MAIN ST.
GAITHERSBURG, MD 20878
(39.12306, -77.23855)"
SHALLA RESTAURANT & BAR,8081 GEORGIA AVE.,SILVER SPRING,MD,20910,BBWLHR463302,On Premise,"TRIPLE BROTHERS, LLC",No,"8081 GEORGIA AVE.
SILVER SPRING, MD 20910
(38.99013, -77.02637)"
MUNDO LATINO MARKET II,2307 UNIVERSITY BLVD W,SILVER SPRING,MD,20902,DBW916412,On/Off-Premise,MUNDO MARKET II,Yes,"2307 UNIVERSITY BLVD W
SILVER SPRING, MD 20902
(39.04171, -77.04912)"
DILL DINKERS,4942 BOILING BROOK PARKWAY,NORTH BETHESDA,MD,20852,DBW1284549,On/Off-Premise,DILL DINKERS LLC,No,"4942 BOILING BROOK PARKWAY
NORTH BETHESDA, MD 20852
(39.04673, -77.0981)"
FEASTY CRAB SEAFOOD RESTAURANT,16811 CRABBS BRANCH WAY,DERWOOD,MD,20855,BBWLHR864396,On Premise,FEASTY CRAB LLC,No,"16811 CRABBS BRANCH WAY
DERWOOD, MD 20855
(39.13156, -77.167)"
PIZZA STOP,2231 BEL PRE ROAD,SILVER SPRING,MD,20906,BBWHR1493544,On/Off-Premise,RAMA FOOD LLC,No,"2231 BEL PRE ROAD
SILVER SPRING, MD 20906
(39.09183, -77.04764)"
PINES OF ROME,4918 CORDELL AVENUE,BETHESDA,MD,20814,BBWHR045,On/Off-Premise,"LA TAVERNA, INC.",No,"4918 CORDELL AVENUE
BETHESDA, MD 20814
(38.98886, -77.0986)"
WOODMONT DELI,8225 WOODMONT AVE,BETHESDA,MD,20814,DBW051,On/Off-Premise,WOODMONT DELI CORPORATION,No,"8225 WOODMONT AVE
BETHESDA, MD 20814
(38.99225, -77.09697)"
THE CHEESECAKE FACTORY,7101 DEMOCRACY BOULEVARD,BETHESDA,MD,20817,BBWLHR816,On Premise,"THE CHEESECAKE FACT. REST.,INC",No,"7101 DEMOCRACY BOULEVARD
BETHESDA, MD 20817
(39.0242, -77.1459)"
TRUE FOOD KITCHEN - GAITHERSBURG,221 RIO BLVD.,GAITHERSBURG,MD,20878,BBWLHR696358,On Premise,"FRC BALANCE, LLC",No,"221 RIO BLVD.
GAITHERSBURG, MD 20878
(39.11762, -77.20008)"
PICCOLI PIATTI,10257 OLD GEORGETOWN RD.,BETHESDA,MD,20814,HBWHR393274,On Premise,"PICCOLI PIATTI, INC.",No,"10257 OLD GEORGETOWN RD.
BETHESDA, MD 20814
(39.02439, -77.12417)"
CAFE ROMA,12166 DARNESTOWN ROAD,GAITHERSBURG,MD,20878,BBWLHR30393,On Premise,"MILA, INC.",No,"12166 DARNESTOWN ROAD
GAITHERSBURG, MD 20878
(39.11696, -77.25245)"
COMMONWEALTH INDIAN,11610 OLD GEORGETOWN ROAD,NORTH BETHESDA,MD,20852,BBWLHR36044,On Premise,"COMMONWEALTH INDIAN, INC",No,"11610 OLD GEORGETOWN ROAD
NORTH BETHESDA, MD 20852
(39.04912, -77.11642)"
ZINNIA,9201 COLESVILLE RD.,SILVER SPRING,MD,20910,BBWLHR533348,On Premise,"MILLS  GROUP, LLC",No,"9201 COLESVILLE RD.
SILVER SPRING, MD 20910
(39.00573, -77.02244)"
BRIGHTON BEER & WINE,225 MUDDY BRANCH ROAD,GAITHERSBURG,MD,20878,ABW23906,Off Premise,"NDA GROUP, INC",Yes,"225 MUDDY BRANCH ROAD
GAITHERSBURG, MD 20878
(39.12891, -77.20806)"
KENTLANDS GOURMET,414 MAIN ST,GAITHERSBURG,MD,20878,ABW201,Off Premise,"HUR & SONS ENTERPRISE, INC.",No,"414 MAIN ST
GAITHERSBURG, MD 20878
(39.12097, -77.2365)"
QUINCY'S POTOMAC BAR & GRILLE,1093 SEVEN LOCKS RD.,ROCKVILLE,MD,20854,BBWLHR292259,On Premise,"RAT PACK OF MD II, LLC",No,"1093 SEVEN LOCKS RD.
ROCKVILLE, MD 20854
(39.06234, -77.16077)"
3 STAR BEER & WINE,18524 WOODFIELD ROAD,GAITHERSBURG,MD,20879,ABW194,Off Premise,"CPSS, INC.",Yes,"18524 WOODFIELD ROAD
GAITHERSBURG, MD 20879
(39.16082, -77.15961)"
COLUMBIA COUNTRY CLUB,7900 CONNECTICUT AVE,CHEVY CHASE,MD,20815,CBWLCC009,On Premise,COLUMBIA COUNTRY CLUB INC.,No,"7900 CONNECTICUT AVE
CHEVY CHASE, MD 20815
(38.98913, -77.07852)"
WHEATON WINE & CRAFT BEER,12039 GEORGIA AVE,WHEATON,MD,20902,DBW892414,On/Off-Premise,CHEERS MATE LLC,Yes,"12039 GEORGIA AVE
WHEATON, MD 20902
(39.05283, -77.05)"
LEBANESE TAVERNA CAFE - TOWN CENTER,"115 GIBBS STREET, UNIT A",ROCKVILLE,MD,20850,HBWHR434,On Premise,"LEBANESE TAVERNA ROCKVILLE, IN",No,"115 GIBBS STREET, UNIT A
ROCKVILLE, MD 20850
(39.08587, -77.15196)"
LA FERME,7101 BROOKVILLE ROAD,CHEVY CHASE,MD,20815,BBWLHR228,On Premise,LA FERME INCORPORATED,No,"7101 BROOKVILLE ROAD
CHEVY CHASE, MD 20815
(38.98138, -77.07099)"
UMI SUSHI & SEAFOOD BUFFET,1471 ROCKVILLE PIKE,ROCKVILLE,MD,20852,BBWLHR1181494,On Premise,UMI BUFFET ROCKVILLE LLC,No,"1471 ROCKVILLE PIKE
ROCKVILLE, MD 20852
(39.06551, -77.1277)"
ALL SET,8630 FENTON STREET,SILVER SPRING,MD,20910,BBWLHR18690,On Premise,"ALL SET HOSPITALITY, LLC",No,"8630 FENTON STREET
SILVER SPRING, MD 20910
(38.99816, -77.02832)"
BABYCAT BREWERY,10241 KENSINGTON PKWY.,KENSINGTON,MD,20895,BDBWL782364,On/Off-Premise,"BABYCAT BREWERY, LLC",No,"10241 KENSINGTON PKWY.
KENSINGTON, MD 20895
(39.02572, -77.07079)"
J.HOLLINGERS,8606 COLESVILLE RD.,SILVER SPRING,MD,20910,BDBWL493303,On Premise,"J.HOLLINGER'S-SS, LLC",No,"8606 COLESVILLE RD.
SILVER SPRING, MD 20910
(38.99663, -77.02771)"
YU ZHOU CAFE,576 N FREDERICK AVE,GAITHERSBURG,MD,20877,HBWHR1697544,On Premise,BOLLMANDI LLC,No,"576 N FREDERICK AVE
GAITHERSBURG, MD 20877
(39.14821, -77.2107)"
MANOR COUNTRY CLUB,14901 CARROLTON ROAD,ROCKVILLE,MD,20853,CBWLCC017,On Premise,"MANOR COUNTRY CLUB, INC.",No,"14901 CARROLTON ROAD
ROCKVILLE, MD 20853
(39.10116, -77.08546)"
THE FILLMORE SILVER SPRING,8656 COLESVILLE RD,SILVER SPRING,MD,20910,BBWLPA28293,,FILLMORE SILVER SPRING CONCERT VENUE,No,"8656 COLESVILLE RD
SILVER SPRING, MD 20910
(38.9973, -77.02727)"
MATCHBOX-ROCKVILLE,1699 ROCKVILLE PIKE,ROCKVILLE,MD,20852,BBWLHR483304,On Premise,"MATCHBOX CONGRESSIONAL PLZ, LLC",No,"1699 ROCKVILLE PIKE
ROCKVILLE, MD 20852
(39.06226, -77.12521)"
LOVE SUSHI,9031 GAITHER ROAD,GAITHERSBURG,MD,20877,HBW299,On Premise,"KAWA ENTERPRISE, INC",No,"9031 GAITHER ROAD
GAITHERSBURG, MD 20877
(39.11768, -77.1852)"
THE VILLAGE AT ROCKVILLE,9701 VEIRS DR,ROCKVILLE,MD,20850,CBWLRC26512,On Premise,"THE VILLAGE AT ROCKVILLE, INC",No,"9701 VEIRS DR
ROCKVILLE, MD 20850
(39.0784, -77.19573)"
QUICK STOP BEER & WINE,"21101 FREDERICK ROAD, UNIT A",GERMANTOWN,MD,20876,ABWS267,Off Premise,"LEW LIQUORS, LLC.",Yes,"21101 FREDERICK ROAD, UNIT A
GERMANTOWN, MD 20876
(39.20309, -77.2453)"
CARRABBAS ITALIAN GRILL,19935 CENTURY BLVD,GERMANTOWN,MD,20874,BBWLHR099,On Premise,"CARRABBAS OF GERMANTOWN, INC.",No,"19935 CENTURY BLVD
GERMANTOWN, MD 20874
(39.18201, -77.26182)"
N-METRO PARK COFFEE & CONVENIENCE,202 PARK ROAD,ROCKVILLE,MD,20850,ABW32384,,N-METRO PARK COFFEE & CONVENIENCE,No,"202 PARK ROAD
ROCKVILLE, MD 20850
(39.08613, -77.14636)"
EURO MARKET,13077 WISTERIA DR,GERMANTOWN,MD,20874,ABWS28312,Off Premise,"ANDIRA, LLC",No,"13077 WISTERIA DR
GERMANTOWN, MD 20874
(39.17818, -77.27161)"
CONVENIENT BEER AND WINE,8441 SNOUFFER SCHOOL ROAD,GAITHERSBURG,MD,20879,ABW27890,Off Premise,"CONVENIENT BEER AND WINE, INC",Yes,"8441 SNOUFFER SCHOOL ROAD
GAITHERSBURG, MD 20879
(39.16803, -77.17412)"
FONTINA GRILLE,801 PLEASANT DRIVE,ROCKVILLE,MD,20850,BBWLHR520,On Premise,"HIBA, LLC",No,"801 PLEASANT DRIVE
ROCKVILLE, MD 20850
(39.11375, -77.17121)"
RAINBOW SUSHI,18076 MATENY ROAD,GERMANTOWN,MD,20874,HBWHR34235,On Premise,"RAINBOW SUSHI ZYW, LLC",No,"18076 MATENY ROAD
GERMANTOWN, MD 20874
(39.14736, -77.27292)"
N-Our Family Restaurant,201 EDISON PARK DR,GAITHERSBURG,MD,00000,BBWLHR756356,On Premise,"Our Family Restaurant, LLC",No,"201 EDISON PARK DR
GAITHERSBURG, MD 00000
(39.1133, -77.23257)"
PINSTRIPES,11920 GRAND PARK AVE,NORTH BETHESDA,MD,20852,BBWLHR29538,On Premise,"PINSTRIPES, INC.",No,"11920 GRAND PARK AVE
NORTH BETHESDA, MD 20852
(39.05124, -77.11759)"
STELLA POINT GRILLE,3739 UNIVERSITY BLVD,KENSINGTON,MD,20895,BBWLHR1424544,On Premise,KENSINGTON CATHAY LLC,No,"3739 UNIVERSITY BLVD
KENSINGTON, MD 20895
(39.03289, -77.07408)"
MONTEREY MART & CAFE,5901 MONTROSE ROAD,ROCKVILLE,MD,20852,DBW34934,On/Off-Premise,"UK STORES, LLC",Yes,"5901 MONTROSE ROAD
ROCKVILLE, MD 20852
(39.05298, -77.11907)"
LEDO PIZZA - ROCKVILLE,10058 DARNESTOWN ROAD,ROCKVILLE,MD,20850,HBW133,On Premise,"DARNESTOWN ROAD PIZZA, INC.",No,"10058 DARNESTOWN ROAD
ROCKVILLE, MD 20850
(39.09591, -77.20732)"
N-WAREHOUSE - PRE ORDER PURCHASE,202 EDISON PARK DR,GAITHERSBURG,MD,20878,34232,On Premise,WAREHOUSE - PRE ORDER PURCHASE,No,"202 EDISON PARK DR
GAITHERSBURG, MD 20878
(39.11161, -77.23531)"
ROCK CREEK TAVERN,5500 OLNEY LAYTONSVILLE ROAD,OLNEY,MD,20832,BDBWL1680544,On/Off-Premise,"ARK19 LIMITED, INC",No,"5500 OLNEY LAYTONSVILLE ROAD
OLNEY, MD 20832
(39.18294, -77.11005)"
BESTWAY MARYLAND SUPERMARKET,8540 PINEY BRANCH ROAD,SILVER SPRING,MD,20901,ABWS082,Off Premise,GREEN CASTLE INTERNATIONAL INC,Yes,"8540 PINEY BRANCH ROAD
SILVER SPRING, MD 20901
(38.99882, -77.00228)"
TASTEFUL TABLE CATERING AT MILTON RIDGE,26130 FREDERICK ROAD,CLARKSBURG,MD,20871,DBWL1506544,On Premise,"TASTEFUL TABLE CATERING, LLC",No,"26130 FREDERICK ROAD
CLARKSBURG, MD 20871
(39.28551, -77.31438)"
KINGS CRAFT BEER & WINE DELI,"402 KING FARM BLVD., STE.100",ROCKVILLE,MD,20850,DBW43143,On/Off-Premise,"DNB, INC.",Yes,"402 KING FARM BLVD., STE.100
ROCKVILLE, MD 20850
(39.11381, -77.17248)"
BURGERFI,11881 GRAND PARK AVENUE,NORTH BETHESDA,MD,20852,HBWHR39250,On Premise,"BUFIPIRO, LLC",No,"11881 GRAND PARK AVENUE
NORTH BETHESDA, MD 20852
(39.05068, -77.11745)"
BEST WESTERN MOTEL,1251 WEST MONTGOMERY AVE,ROCKVILLE,MD,20850,BBWLHM010,On Premise,ROCKVILLE MOTEL ASSOCIATES LLC,No,"1251 WEST MONTGOMERY AVE
ROCKVILLE, MD 20850
(39.08911, -77.17663)"
TERRAPIN BICYCLES,4933 AUBURN AVE.,BETHESDA,MD,20814,DBW768355,On/Off-Premise,"TERRAPIN BICYCLES, LLC",No,"4933 AUBURN AVE.
BETHESDA, MD 20814
(38.98932, -77.10052)"
SOZACH CONVENIENCE INC,202 PARK ROAD,ROCKVILLE,MD,20850,DBW1270558,On/Off-Premise,SOZACH CONVENIENCE INC,No,"202 PARK ROAD
ROCKVILLE, MD 20850
(39.08613, -77.14636)"
FARMSOOK HAPPINESS THAI KITCHEN,"800 KING FARM BLVD., #125",ROCKVILLE,MD,20850,BBWLHR100259,On Premise,"FARMSOOK, LLC",No,"800 KING FARM BLVD., #125
ROCKVILLE, MD 20850
(39.11053, -77.18197)"
SOL AZTECA RESTAURANT,18129 TOWN CENTER DRIVE,OLNEY,MD,20832,BBWLHR179,On Premise,"SOL AZTECA, INC.",No,"18129 TOWN CENTER DRIVE
OLNEY, MD 20832
(39.15274, -77.06154)"
SAL'S KITCHEN,"7945 MACARTHUR BOULEVARD, #107",CABIN JOHN,MD,20818,BBWLHR867,On Premise,"CJ2, INC",No,"7945 MACARTHUR BOULEVARD, #107
CABIN JOHN, MD 20818
(38.97497, -77.16256)"
FRANKLY...PIZZA!,10417 ARMORY AVENUE,KENSINGTON,MD,20895,BKBWHR005,On Premise,"FRANKLY...FOOD, LLC",No,"10417 ARMORY AVENUE
KENSINGTON, MD 20895
(39.02722, -77.07437)"
HELLO VIETNAM! RESTAURANT,2200 VEIRS MILL RD,ROCKVILLE,MD,20851,BBWHR1024434,On/Off-Premise,VIETFOOD LLC,No,"2200 VEIRS MILL RD
ROCKVILLE, MD 20851
(39.07526, -77.11483)"
MAMMA LENA,13507 CLOPPER ROAD,GERMANTOWN,MD,20874,BBWHR24735,On/Off-Premise,"MAMMA LENA, LLC",No,"13507 CLOPPER ROAD
GERMANTOWN, MD 20874
(39.16199, -77.28011)"
STRATHMORE MUSIC CENTER & MANSION,5301 TUCKERMAN LANE,ROCKVILLE,MD,20852,SBWLCPA1069795,On Premise,"STRATHMORE HALL FOUNDATION, IN",No,"5301 TUCKERMAN LANE
ROCKVILLE, MD 20852
(39.03169, -77.10253)"
EUROPEAN DELIGHT,"1488 ROCKVILLE PIKE, UNIT I",ROCKVILLE,MD,20852,DBW201,Off Premise,"ILHOM, INC.",No,"1488 ROCKVILLE PIKE, UNIT I
ROCKVILLE, MD 20852
(39.06588, -77.12632)"
